Nome/Razão Social;Data de Publicação do Ato;Nome do Município;UF
ALGAR SOLUCOES EM TIC S/A;03/11/2008;Uberlândia;MG
ANDERSON SOUSA MATIAS - ME;17/09/2013;Brasília;DF
F A VIEIRA DE SOUZA SERIÇOS LTDA  ME;12/01/2012;Maracanaú;CE
F-TELECOM TELECOMUNICACOES LTDA;27/06/2008;São Paulo;SP
G9 DE TELECOMUNICACOES LTDA;20/08/2010;São José do Rio Preto;SP
GABRIELA SARTINI VOLKMER;13/06/2016;Viamão;RS
K NET COMUNICAÇÃO LTDA - ME;08/07/2016;Jardim;MS
LIFE SERVICOS DE COMUNICACAO MULTIMIDIA LTDA;12/03/2009;Marília;SP
LINK FIBRA SERVICOS DE COMUNICACAO MULTIMIDIA EIRELI;19/04/2013;Sumé;PB
M DE L FEITOSA & CIA LTDA - ME ;15/04/2015;Manaus;AM
SHYBUYA SYSTEM COMERCIO DE PRODUTOS ELETRONICOS EIRELI - ME;25/10/2006;Rio de Janeiro;RJ
1000 SOM SEGURANCA ELETRONICA LTDA;10/04/2012;Brasília;DF
14TELECOM LTDA - ME;28/02/2012;Cássia;MG
1TELECOM SERVICOS DE TECNOLOGIA EM INTERNET LTDA;03/06/2011;Recife;PE
1TOC INFORMÁTICA LTDA;10/05/2012;Cambé;PR
2B TECNOLOGIA EM INFORMATICA LTDA. ;22/02/2012;Sobradinho;RS
2CALL TELECOM E MIDIA LTDA.;26/01/2010;São Paulo;SP
2I SERVIÇOS DE TELECOMUNICAÇÕES DO BRASIL LTDA - ME ;20/08/2010;Vespasiano;MG
2R TELECOM S/A;11/04/2013;Belo Horizonte;MG
2RM TELECOM LTDA - ME;20/11/2015;Socorro;SP
3 M DE MAGE INFORMATICA LTDA - ME;06/12/2010;Magé;RJ
3 NET TELECOMUNICAÇÕES LTDA ME;19/05/2010;Birigui;SP
3.I. TELECOM LTDA - ME;25/08/2011;Bom Jesus da Penha;MG
3C TELECOM LTDA -ME;13/03/2014;Dom Joaquim;MG
3CS SERVICOS DE INFORMATICA LTDA - ME;07/10/2016;Campos dos Goytacazes;RJ
3E TELECOM LTDA;12/04/2011;Sananduva;RS
3KANET PROVEDOR DE INTERNET LTDA-ME;01/10/2013;Virginópolis;MG
3WLINK INTERNET LTDA ;02/07/2012;Muriaé;MG
4 I.NET SOROCABA LTDA - EPP;12/01/2012;Sorocaba;SP
4IP TECNOLOGIA LTDA - ME;02/03/2015;São Paulo;SP
4K TELECOM INTERNET LTDA;09/08/2016;Brasília;DF
4U NETWORK - PSI E SERVICOS DE INFORMATICA LTDA - ME;15/07/2014;Florianópolis;SC
4W NET ES TELECOMUNICAÇÕES EIRELI - ME ;07/03/2016;Boa Vista;RR
5 LINX INTERMEDIACAO DE NEGOCIOS LTDA;29/11/2010;São Paulo;SP
55 TELECOM COMUNICACAO LTDA;13/03/2017;São Paulo;SP
5GTELECOM AZEVEDO INFORMATICA LTDA;13/07/2012;Caxambu;MG
6 P TELECOM 2 LTDA;05/08/2008;Pedrinhas Paulista;SP
6 P TELECOM LTDA;02/09/2009;Primeiro de Maio;PR
7BRASIL TELECOM LTDA - ME;11/03/2015;Belo Horizonte;MG
8 BIT INFORMÁTICA E PROVEDOR LTDA. ME;22/11/2012;Camboriú;SC
A  H  SANTOS  OLIVEIRA - ME;15/12/2016;Caxias;MA
A & D PROVEDOR DE INTERNET LTDA. - ME;23/07/2012;São Paulo;SP
A & G SERVIÇOS EM TI LTDA;24/07/2008;Brasília;DF
A & G TELECOMUNICAÇÕES   LTDA  EPP;11/10/2011;Cametá;PA
A A FERREIRA EIRELI - ME;30/11/2017;Centro Novo do Maranhão;MA
A A INFORMATICA E MANUTENCAO LTDA - ME;20/11/2015;Jaguaquara;BA
A A P D CARVALHO ALVES DE CASTRO INTERNET;27/06/2017;Aragarças;GO
A ALBANES GARCIA TECNOLOGIA LTDA - ME;16/08/2013;Nova Granada;SP
A ARDIZZON MULTIMIDIAS - ME;25/05/2016;Rio Bananal;ES
A B R FILHO - ME;31/01/2017;Manaus;AM
A C DA S GOMES & CIA LTDA - EPP;17/08/2015;Ubaitaba;BA
A C GOMES - ME;19/02/2016;Mossoró;RN
A C L MARINHO;18/01/2017;Maceió;AL
A C M DA CRUZ TECNOLOGIA - ME;23/05/2016;Barreirinhas;MA
A C N DE MOURA - ME.;15/10/2014;Massapê;CE
A C ROCHA INFORMATICA LTDA ME;17/03/2009;Iporã;PR
A DA SILVA CRUZ - ME;01/02/2017;Teresina;PI
A DE CARVALHO CANÁRIO TELECOMUNICAÇÕES - ME;12/04/2011;Mendes;RJ
A DE OLIVEIRA SOBRINHO COMUNICACAO MULTIMIDIA - ME;17/11/2016;Piracuruca;PI
A DE SOUZA FREITAS - SERVICOS  - ME;26/09/2016;Juazeiro;BA
A DOS S CABRAL EIRELI  - ME;13/12/2016;Pacajá;PA
A F DE OLIVEIRA COMUNICAÇÕES - ME;23/02/2015;Mauá;SP
A FREIRE DOS SANTOS E CIA LTDA - ME ;12/01/2012;Hidrolina;GO
A G BRAGA E CIA LTDA - ME;01/02/2016;Breves;PA
A G DOS SANTOS LIMA - ME;03/02/2016;Belo Jardim;PE
A G P DA SILVA - ME;09/06/2017;Catarina;CE
A I DE MELLO EIRELI - ME;16/12/2014;Altamira;PA
A J INFORMATICA TELECOM LTDA  - ME;10/08/2016;Cariacica;ES
A K DE SOUZA MARINHO - ME;11/02/2015;Apodi;RN
A KREFTA - TECNOLOGIA E IMPREENDIMENTOS - ME;21/01/2013;Juína;MT
A L A INFORMATICA LTDA;14/11/2011;Goianésia;GO
A L DE MENEZES E LIMA LTDA - ME ;30/05/2016;Brejo da Madre de Deus;PE
A L RODRIGUES EIRELI - ME;14/06/2017;Bela Vista;MS
A P RODRIGUES DE BRITO - ME;08/05/2017;Piracuruca;PI
A PEQUENINA EIRELI;03/08/2016;Teotônio Vilela;AL
A R BARROS - ME;21/06/2017;Penalva;MA
A R G3 TELECOM ASSOCIADOS LTDA;11/11/2013;Teresina;PI
A REDE TELECOMUNICAÇÕES E EQUIPAMENTOS LTDA - ME;20/08/2010;Rio de Janeiro;RJ
A S DOS SANTOS - ME;08/09/2016;Maceió;AL
A S GOMES COMUNICACOES - ME;31/03/2017;Maceió;AL
A S HERMIDA TELECOMUNICACOES LTDA;11/03/2010;Barra Bonita;SP
A S JACOBI - INFORMATICA - ME;17/04/2014;Palotina;PR
A SOARES FILGUEIRA;08/09/2016;São Rafael;RN
A SOLUCAO INTERNET BANDA LARGA LTDA ME;08/06/2011;Alvorada do Sul;PR
A V DA SILVA JUNIOR - ME;04/02/2016;São José de Ribamar;MA
A V F RODRIGUES COMPUTADORES;28/10/2014;Forquilha;CE
A Variani Júnior Serviços EIRELI - ME;18/02/2016;Rurópolis;PA
A Z DE ARAUJO NETO - ME;24/03/2015;Alto do Rodrigues;RN
A. ALVES GOMES INFORMATICA - ME;21/02/2013;Tianguá;CE
A. ANDREGHETONE - ME;16/07/2014;Matinhos;PR
A. ANTUNES DE SOUZA - ME;21/06/2016;São Vicente;SP
A. B. DOS SANTOS INFORMATICA - ME;04/01/2017;Santos;SP
A. BARROS DA SILVA - ME;29/07/2016;Campinas;SP
A. C. FERRAREZI - ME;29/06/2017;Rondonópolis;MT
A. C. VERA FILHO TELECOMUNICACOES E INFORMATICA;14/11/2011;Imperatriz;MA
A. F. DE ASSUNCAO PEREIRA & CIA LTDA - ME;17/11/2016;Luís Correia;PI
A. GUEDES - PROPAGANDA;13/11/2013;Sapucaia do Sul;RS
A. HIKARU KAMIDE - SCM - ME;08/06/2017;Arapoti;PR
A. J. D. DA SILVA MANUTENÇÃO DE MICRO;07/12/2015;Teresópolis;RJ
A. K. OKAMOTO - VISAONET TELECOM - EPP;26/04/2005;Goioerê;PR
A. KLAFFKE & CIA LTDA - ME;02/04/2013;Nova Guarita;MT
A. L. MOTA DE PAULA;07/12/2015;Alvorada;TO
A. L. N. LOPES - ME;18/05/2017;Barra do Corda;MA
A. M. DE SOUZA ARAGAO ME;24/09/2013;Limoeiro;PE
